app_id,name,developer,publisher,developer_title_count,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,is_self_published,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_5000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_is_indie_and_dev_title_count_le_10,screen_controller_support,screen_gamepass_availability
690830,Foundation,Polymorph Games,Polymorph Games,1,0.6465,Anchor,0.8234,0.5455,0.1661,14774,0.8746,Very Positive,"500,000 .. 1,000,000",750000.0,29.99,,False,True,True,False,False,2019,Early Access|Indie|Simulation|Strategy,Atmospheric|Base Building|Building|Choices Matter|City Builder|Colony Sim|Early Access|Economy|Indie|Management|Medieval|Open World|RTS|Relaxing|Resource Management,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1169040,Necesse,Fair Games ApS,Fair Games ApS,1,0.6439,Anchor,0.792,0.4965,0.493,13746,0.9387,Very Positive,"500,000 .. 1,000,000",750000.0,14.99,,True,True,True,True,True,2019,Action|Adventure|Early Access|Indie|RPG,2D|Adventure|Atmospheric|Automation|Base Building|Building|Co-op|Crafting|Early Access|Exploration|Farming Sim|Multiplayer|Online Co-Op|Open World|Open World Survival Craft,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
872670,SCP: 5K,Affray Interactive,Affray Interactive,1,0.6439,Anchor,0.6451,0.7937,0.0385,10458,0.7861,Mostly Positive,"200,000 .. 500,000",350000.0,19.99,,True,True,True,True,True,2022,Action|Early Access|Indie|Massively Multiplayer|Strategy,Action|Co-op|Co-op Campaign|Combat|Early Access|FPS|First-Person|Gun Customization|Horror|Immersive|Lore-Rich|Military|Multiplayer|PvE|Realistic,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
252610,Death Road to Canada,"Rocketcat Games, Madgarden",Rocketcat Games,1,0.6428,Depth,0.542,0.722,0.8304,8922,0.9298,Very Positive,"200,000 .. 500,000",350000.0,14.99,,True,True,False,True,True,2016,Action|Indie|RPG,2D|Action|Action Roguelike|Character Customization|Co-op|Comedy|Difficult|Funny|Great Soundtrack|Indie|Local Co-Op|Memes|Multiplayer|Pixel Graphics|RPG,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1113120,IXION,Bulwark Studios,Kasedo Games,3,0.6416,Anchor,0.8217,0.5437,0.1329,14718,0.7795,Mostly Positive,"500,000 .. 1,000,000",750000.0,34.99,,False,True,False,False,False,2022,Indie|Simulation|Strategy,Atmospheric|Base Building|Building|Choices Matter|City Builder|Colony Sim|Dark|Difficult|Economy|Exploration|Indie|Management|Post-apocalyptic|RTS|Resource Management,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1611600,WARNO,Eugen Systems,Eugen Systems,9,0.6407,Anchor,0.6381,0.7867,0.0699,10408,0.8223,Very Positive,"200,000 .. 500,000",350000.0,26.79,,False,True,True,True,True,2024,Action|Indie|Simulation|Strategy,1980s|Bullet Time|Co-op|Cold War|Historical|Massively Multiplayer|Military|Moddable|Multiplayer|PvP|RTS|Real Time Tactics|Realistic|Simulation|Strategy,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1059990,Trombone Champ,Holy Wow Studios LLC,Holy Wow Studios LLC,1,0.6397,Anchor,0.5734,0.743,0.5577,9231,0.9796,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,14.99,82,False,True,True,False,False,2022,Casual|Indie,3D|Cartoon|Casual|Colorful|Comedy|Cute|Difficult|Experimental|Family Friendly|Funny|Horror|Indie|Memes|Moddable|Music,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
446020,Jalopy,Minskworks,Excalibur Games,2,0.6395,Anchor,0.6084,0.7692,0.2762,9765,0.7735,Mostly Positive,"200,000 .. 500,000",350000.0,14.99,65,True,True,False,False,False,2018,Adventure|Indie|Simulation,Adventure|Atmospheric|Automobile Sim|Driving|Early Access|Economy|Exploration|First-Person|Indie|Management|Open World|Realistic|Relaxing|Resource Management|Roguelite,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
746850,Cloudpunk,ION LANDS,"ION LANDS, Maple Whispering Limited",2,0.639,Anchor,0.7972,0.5052,0.3829,13906,0.8814,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,73,True,True,False,False,False,2020,Adventure|Indie|RPG,Action|Adventure|Atmospheric|Cyberpunk|Driving|Exploration|Female Protagonist|First-Person|Futuristic|Great Soundtrack|Indie|Mature|Open World|RPG|Sci-fi,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1954200,Kena: Bridge of Spirits,Ember Lab,Ember Lab,1,0.6388,Anchor,0.7955,0.5,0.4108,13752,0.9207,Very Positive,"500,000 .. 1,000,000",750000.0,39.99,83,True,True,True,False,False,2022,Action|Adventure|Indie,3D|3D Platformer|Action|Action-Adventure|Adventure|Atmospheric|Cinematic|Combat|Controller|Exploration|Fantasy|Female Protagonist|Indie|Magic|Mystery,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1307580,TOEM: A Photo Adventure,Something We Made,"Something We Made, popagenda",1,0.6376,Depth,0.3427,0.9441,0.8864,6964,0.9924,Overwhelmingly Positive,"100,000 .. 200,000",150000.0,19.99,79,True,True,False,False,False,2021,Adventure|Casual|Indie,Adventure|Atmospheric|Cartoon|Casual|Cozy|Cute|Exploration|Family Friendly|Funny|Hand-drawn|Hidden Object|Music|Nature|Photo Editing|Puzzle,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
2646460,Soulmask,CampFire Studio,Qooland Games,1,0.6372,Anchor,0.6416,0.7902,0.0035,10415,0.7872,Mostly Positive,"200,000 .. 500,000",350000.0,29.99,,False,True,False,True,True,2024,Adventure|Early Access|Indie|Massively Multiplayer|RPG|Simulation,3D|Action-Adventure|Adventure|Base Building|Building|Crafting|Early Access|Exploration|Hunting|Massively Multiplayer|Multiplayer|Open World|Open World Survival Craft|RPG|Realistic,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
536270,Ancestors: The Humankind Odyssey,Panache Digital Games,Private Division,1,0.6353,Depth,0.5997,0.7605,0.3129,9647,0.7825,Mostly Positive,"200,000 .. 500,000",350000.0,39.99,,True,True,False,False,False,2020,Action|Adventure|Indie|RPG,Action|Action-Adventure|Adventure|Atmospheric|Choices Matter|Crafting|Exploration|Historical|Immersive Sim|Indie|Multiplayer|Nature|Open World|Open World Survival Craft|RPG,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
388090,Five Nights at Freddy's 4,Scott Cawthon,Scott Cawthon,8,0.6336,Anchor,0.8042,0.5245,0.2168,14199,0.927,Very Positive,"500,000 .. 1,000,000",750000.0,7.99,51,False,True,True,False,False,2015,Action|Indie|Strategy,Action|Animation & Modeling|Atmospheric|Dark|Difficult|Family Friendly|First-Person|Horror|Illuminati|Indie|Jump Scare|Point & Click|Psychological Horror|Robots|Simulation,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
913740,WORLD OF HORROR,panstasz,"Ysbryd Games, PLAYISM",1,0.6287,Anchor,0.5559,0.729,0.5909,9082,0.9239,Very Positive,"200,000 .. 500,000",350000.0,19.99,77,False,True,False,False,False,2023,Indie|RPG,2D|Adventure|Anime|Atmospheric|Card Game|Horror|Lovecraftian|Moddable|Mystery|Pixel Graphics|Point & Click|Psychological Horror|RPG|Roguelike|Roguelite,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
861650,Session: Skate Sim,crea-ture Studios Inc.,Nacon,1,0.6283,Anchor,0.785,0.486,0.4143,13439,0.8385,Very Positive,"500,000 .. 1,000,000",750000.0,11.99,,True,True,False,False,False,2022,Indie|Simulation|Sports|Strategy,Action|Character Customization|Difficult|Early Access|Exploration|Family Friendly|Funny|Immersive Sim|Indie|Multiplayer|Parkour|Physics|Realistic|Simulation|Singleplayer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
738520,Breathedge,RedRuins Softworks,"HypeTrain Digital, RedRuins Softworks",1,0.6283,Anchor,0.8112,0.5332,0.0944,14289,0.8259,Very Positive,"500,000 .. 1,000,000",750000.0,24.99,71,True,True,False,False,False,2021,Action|Adventure|Indie|Simulation,Action|Action-Adventure|Adventure|Aliens|Atmospheric|Base Building|Co-op|Crafting|Early Access|Exploration|First-Person|Indie|Open World|Open World Survival Craft|Sandbox,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1382070,Viewfinder,Sad Owl Studios,Thunderful Publishing,1,0.6219,Depth,0.3252,0.9353,0.8514,6812,0.9435,Very Positive,"100,000 .. 200,000",150000.0,24.99,84,True,True,False,False,False,2023,Adventure|Indie,3D Platformer|Abstract|Action-Adventure|Adventure|Atmospheric|Colorful|Dark Humor|Exploration|First-Person|Narration|Physics|Platformer|Psychological|Puzzle|Puzzle Platformer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
386070,Planetary Annihilation: TITANS,Planetary Annihilation Inc,Planetary Annihilation Inc,1,0.6212,Anchor,0.7937,0.4983,0.25,13747,0.8487,Very Positive,"500,000 .. 1,000,000",750000.0,29.99,,False,True,True,True,True,2015,Action|Indie|Strategy,Base Building|Building|Co-op|Destruction|Futuristic|Grand Strategy|Indie|Mechs|Multiplayer|Online Co-Op|PvP|RTS|Real Time Tactics|Robots|Sci-fi,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
589590,Kindergarten,"Con Man Games, Sean Young",SmashGames,2,0.6194,Low-cost option,0.493,0.6888,0.9738,8220,0.9648,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,4.99,,True,True,False,False,False,2017,Adventure|Indie,Adventure|Blood|Choices Matter|Dark Comedy|Dark Humor|Difficult|Early Access|Funny|Gore|Horror|Indie|Memes|Mystery|Pixel Graphics|Psychological Horror,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
343780,Cat Goes Fishing,Cat5Games,Luden.io,1,0.6157,Anchor,0.7552,0.4178,0.7098,12554,0.9418,Very Positive,"500,000 .. 1,000,000",750000.0,6.99,,False,True,False,False,False,2015,Casual|Indie|Simulation,2D|Action|Adventure|Arcade|Casual|Cats|Cute|Difficult|Family Friendly|Fishing|Funny|Indie|Multiplayer|Nature|Psychological Horror,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
211400,Deadlight,"Tequila Works, S.L.",Xbox Game Studios,1,0.6156,Anchor,0.7535,0.4161,0.7238,12549,0.7886,Mostly Positive,"500,000 .. 1,000,000",750000.0,14.99,78,True,True,False,False,False,2012,Action|Adventure|Indie,2.5D|2D|Action|Adventure|Atmospheric|Controller|Great Soundtrack|Horror|Indie|Noir|Parkour|Platformer|Post-apocalyptic|Puzzle|Short,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1070710,Kind Words (lo fi chill beats to write to),Popcannibal,Popcannibal,5,0.6152,Low-cost option,0.5297,0.7168,0.6364,8829,0.9818,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,4.99,,False,True,True,True,True,2019,Casual|Indie,3D|Asynchronous Multiplayer|Atmospheric|Casual|Colorful|Cozy|Cute|Emotional|Experience|Experimental|Funny|Indie|LGBTQ+|Memes|Multiplayer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
435530,The Final Station,DO MY BEST,tinyBuild,2,0.6142,Anchor,0.5061,0.7028,0.8007,8454,0.8721,Very Positive,"200,000 .. 500,000",350000.0,14.99,76,True,True,False,False,False,2016,Action|Adventure|Indie,2D|Action|Adventure|Atmospheric|Great Soundtrack|Horror|Indie|Pixel Graphics|Platformer|Post-apocalyptic|Resource Management|Sci-fi|Shooter|Short|Side Scroller,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
367580,Hook,Maciej Targoni,Maciej Targoni,6,0.6142,Low-cost option,0.528,0.715,0.6416,8828,0.9698,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,1.99,,False,True,True,False,False,2015,Casual|Indie,2D|Abstract|Atmospheric|Casual|Difficult|Family Friendly|Great Soundtrack|Indie|Logic|Minimalist|Mouse only|Puzzle|Relaxing|Short|Singleplayer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
352720,The Universim,Crytivo,Crytivo,1,0.6138,Depth,0.5874,0.7535,0.1871,9484,0.8064,Very Positive,"200,000 .. 500,000",350000.0,22.49,,False,True,True,False,False,2024,Indie|Simulation|Strategy,Aliens|Building|Casual|City Builder|Colony Sim|Colorful|Exploration|God Game|Management|Open World|Procedural Generation|Real-Time with Pause|Resource Management|Sandbox|Sci-fi,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
1504500,OPUS: Echo of Starsong - Full Bloom Edition,SIGONO INC.,SIGONO INC.,4,0.6136,Anchor,0.4983,0.6923,0.8759,8345,0.9663,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,24.99,90,True,True,True,False,False,2021,Adventure|Indie,2.5D|2D|Adventure|Anime|Atmospheric|Colorful|Emotional|Exploration|Female Protagonist|Indie|Interactive Fiction|JRPG|Puzzle Platformer|Sci-fi|Singleplayer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (dropped -- Game Pass runs on PC; no compensating pillar, see A-2)",PENDING_EXTERNAL_CHECK
