app_id,name,developer,publisher,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,is_self_published,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_4000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_is_indie_and_selfpublished,screen_controller_support,screen_gamepass_availability
824270,KovaaK's,KovaaK Games,KovaaK Games,0.8985,Anchor,0.9951,0.9926,0.0395,32859,0.9271,Very Positive,"200,000 .. 500,000",350000.0,9.99,,False,True,True,False,False,2018,Action|Indie|Simulation,Action|Controller|FPS|First-Person|Indie|Multiplayer|Shooter|Simulation|Singleplayer|Software Training,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
288160,The Room,Fireproof Games,Fireproof Games,0.8947,Anchor,0.9852,0.8938,0.4457,27490,0.9785,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,4.99,73,False,True,True,False,False,2014,Adventure|Indie,Adventure|Atmospheric|Beautiful|Casual|Dark|Escape Room|First-Person|Hidden Object|Horror|Indie|Lovecraftian|Mystery|Point & Click|Psychological Horror|Puzzle,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1240210,There Is No Game: Wrong Dimension,Draw Me A Pixel,Draw Me A Pixel,0.8946,Anchor,0.9556,0.8025,0.958,22272,0.9779,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,12.99,89,False,True,True,False,False,2020,Adventure|Casual|Indie,2D|Action|Adventure|Casual|Comedy|Funny|Great Soundtrack|Indie|Interactive Fiction|Narration|Parody|Pixel Graphics|Point & Click|Puzzle|RPG,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
425580,The Room Two,Fireproof Games,Fireproof Games,0.8927,Anchor,0.9259,0.963,0.4457,18916,0.9776,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,4.99,,False,True,True,False,False,2016,Adventure|Indie,Adventure|Atmospheric|Casual|Co-op|Dark|Escape Room|First-Person|Great Soundtrack|Hidden Object|Horror|Indie|Lovecraftian|Mystery|Point & Click|Psychological Horror,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
1584090,Touhou Mystia's Izakaya,"二色幽紫蝶, Re零同人社","二色幽紫蝶, Re零同人社",0.8921,Anchor,0.9654,0.837,0.7457,23399,0.9864,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,4.79,,True,True,True,False,False,2021,Casual|Indie|RPG|Simulation,1990's|2D|Anime|Capitalism|Cartoon|Casual|Clicker|Comedy|Cooking|Drama|Economy|Faith|Female Protagonist|JRPG|Old School,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
406150,Refunct,Dominique Grieshofer,Dominique Grieshofer,0.8847,Anchor,0.8988,0.9506,0.5506,17257,0.9586,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,2.99,,True,True,True,False,False,2015,Adventure|Casual|Indie,3D Platformer|Adventure|Atmospheric|Beautiful|Casual|Colorful|Cute|Exploration|Family Friendly|First-Person|Great Soundtrack|Open World|Parkour|Platformer|Puzzle Platformer,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
2212330,Your Only Move Is HUSTLE,Ivy Sly,Ivy Sly,0.8837,Anchor,0.9827,0.879,0.4074,25746,0.9642,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,4.99,,False,True,True,False,True,2023,Action|Indie|Simulation|Strategy,2D|2D Fighter|Action|Anime|Cartoon|Cartoony|Cinematic|Colorful|Cute|Hand-drawn|Minimalist|Pixel Graphics|Sandbox|Side Scroller|Simulation,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
736260,Baba Is You,Hempuli Oy,Hempuli Oy,0.882,Anchor,0.9457,0.7728,1.0,20757,0.978,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,14.99,87,True,True,True,False,False,2019,Indie,2D|Atmospheric|Casual|Cute|Difficult|Funny|Great Soundtrack|Indie|Level Editor|Logic|Minimalist|Pixel Graphics|Programming|Puzzle|Retro,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
242860,Verdun,BlackMill Games,BlackMill Games,0.881,Anchor,0.9975,0.9531,0.0099,37045,0.8609,Very Positive,"500,000 .. 1,000,000",750000.0,14.99,70,True,True,True,False,True,2015,Action|Indie|Massively Multiplayer|Simulation|Strategy,Action|Atmospheric|Co-op|FPS|First-Person|Gore|Historical|Massively Multiplayer|Military|Multiplayer|PvP|Realistic|Shooter|Simulation|Strategy,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
303210,The Beginner's Guide,Everything Unlimited Ltd.,Everything Unlimited Ltd.,0.8679,Anchor,0.9506,0.7827,0.7951,21206,0.8793,Very Positive,"500,000 .. 1,000,000",750000.0,9.99,,True,True,True,False,False,2015,Adventure|Indie,Abstract|Adventure|Atmospheric|Dark|Emotional|Experience|Experimental|First-Person|Great Soundtrack|Indie|Narration|Philosophical|Psychological|Psychological Horror|Puzzle,PASS,PASS,PASS,PASS,PASS,"NOT GATED (scored feature only, see 20_indie_scoring.md)",PENDING_EXTERNAL_CHECK
