app_id,name,developer,publisher,composite_score,tier,proven_pct,scarcity_pct,fit_pct,cheap_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,is_indie,has_coop,has_multiplayer,has_singleplayer,release_year,genres,tags,screen_review_total_ge_50,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_gamepass_availability
415610,Red Comrades Save the Galaxy: Reloaded,Buka Development,ESDigital Games,0.7613,Low-cost option,0.7395,0.4783,0.841,0.9863,805,0.9317,Very Positive,"20,000 .. 50,000",35000.0,0.79,False,False,False,True,2016,Adventure,2D|Adventure|Atmospheric|Cartoon|Cartoony|Classic|Comedy|Conversation|Dark Humor|Dynamic Narration|Funny|Hidden Object|Point & Click|Politics|Puzzle,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
638850,Animallica,Animallica Games Studio,Fareed Flgaming,0.7598,Low-cost option,0.7577,0.7921,0.7645,0.7249,900,0.7067,Mostly Positive,"0 .. 20,000",10000.0,4.99,True,False,False,True,2022,Action|Adventure|Indie|Simulation,Action|Adventure|Base Building|Building|Cats|Crafting|Early Access|Female Protagonist|First-Person|Horses|Hunting|Indie|Nature|Open World|Open World Survival Craft,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1035050,Alt-Frequencies,"Accidental Queens, ARTE France",PID Games,0.7587,Low-cost option,0.4645,0.7921,0.7919,0.9863,214,0.8645,Very Positive,"0 .. 20,000",10000.0,0.79,True,False,False,True,2019,Indie,Adventure|Conspiracy|Detective|Experimental|Great Soundtrack|Indie|Interactive Fiction|Investigation|Narration|Political|Politics|Sci-fi|Short|Singleplayer|Story Rich,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2001570,Yakiniku simulator,"SECRET CHARACTER, Napas Torteeka, REBUILD GAMES","SECRET CHARACTER, Flyhigh Works",0.7587,Low-cost option,0.6005,0.7921,0.9172,0.7249,388,0.933,Very Positive,"0 .. 20,000",10000.0,4.99,True,False,False,True,2022,Casual|Indie|Simulation,Atmospheric|Casual|Clicker|Colorful|Controller|Cooking|Funny|Life Sim|Management|Memes|Multiplayer|Puzzle|Realistic|Rhythm|Simulation,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1524250,Survivor Dieland,Randumb Studios,Randumb Studios,0.758,Low-cost option,0.4759,0.7921,0.8649,0.8992,224,0.9509,Very Positive,"0 .. 20,000",10000.0,1.99,False,False,False,True,2021,Adventure|Simulation,Adventure|Choices Matter|Choose Your Own Adventure|Comedy|Dark Comedy|Dark Humor|Experimental|Funny|Immersive Sim|Interactive Fiction|Life Sim|Lore-Rich|Multiple Endings|Parody|Post-apocalyptic,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1771180,No Fair Play,Self MADev,Self MADev,0.7579,Low-cost option,0.5739,0.7921,0.8186,0.8471,344,0.8895,Very Positive,"0 .. 20,000",10000.0,2.99,True,True,True,True,2023,Action|Indie|Simulation|Sports,3D|3D Fighter|Action|Collectathon|Combat|Destruction|Football (Soccer)|Funny|Martial Arts|Multiplayer|Online Co-Op|Parkour|Physics|Puzzle Platformer|PvP,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1221240,Tavern Cards,Vadd Games,gigantumgames,0.7576,Low-cost option,0.3913,0.7921,0.8484,0.9987,160,0.7562,Mostly Positive,"0 .. 20,000",10000.0,0.38,False,False,False,True,2020,Action|Adventure|Simulation|Strategy,3D|Action|Adventure|Card Battler|Card Game|Choices Matter|Dark Fantasy|Demons|Female Protagonist|First-Person|Hand-drawn|Indie|RPG|Roguelike|Roguelite,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1848960,Medieval Fantasy Survival Simulator,Randumb Studios,Randumb Studios,0.7574,Low-cost option,0.4988,0.7921,0.8395,0.8992,246,0.9675,Very Positive,"0 .. 20,000",10000.0,1.99,False,False,False,True,2022,Adventure|RPG|Simulation,Anime|Choices Matter|Choose Your Own Adventure|Cute|Dragons|Economy|Education|Historical|Horror|Immersive Sim|Life Sim|Multiple Endings|Psychological|RPG|Simulation,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1895890,9 Childs Street,"N4bA, SsmA",N4bA,0.7552,Depth,0.6818,0.7921,0.9295,0.6174,576,0.9184,Very Positive,"0 .. 20,000",10000.0,6.99,True,False,False,True,2023,Indie,3D|Adventure|Atmospheric|Dark|First-Person|Horror|Indie|Linear|Multiplayer|Mystery|Psychological|Psychological Horror|Realistic|Singleplayer|Story Rich,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
665120,Jetman Go,Linkflag Studio,Linkflag Studio,0.754,Low-cost option,0.4148,0.7921,0.9099,0.8992,175,0.8,Very Positive,"0 .. 20,000",10000.0,1.99,True,True,True,True,2017,Action|Casual|Indie|Simulation|Sports,Action|Adventure|Arena Shooter|Atmospheric|Casual|Co-op|Crafting|Difficult|FPS|Free to Play|Funny|Indie|Jet|Memes|Multiplayer,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
668350,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,07th Expansion,MangaGamer,0.7535,Depth,0.6939,0.7921,0.8551,0.6729,616,0.9886,Overwhelmingly Positive,"0 .. 20,000",10000.0,5.19,False,False,False,True,2018,Adventure,Adventure|Anime|Atmospheric|Cute|Dark|Female Protagonist|Gore|Great Soundtrack|Horror|Indie|Linear|Mystery|Psychological Horror|Singleplayer|Story Rich,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1889640,The Backrooms: Survival,RE:CODE,RE:CODE,0.7533,Anchor,0.7875,0.7921,0.9585,0.4752,1110,0.8405,Very Positive,"0 .. 20,000",10000.0,9.99,True,True,True,True,2023,Action|Adventure|Indie|Massively Multiplayer|Simulation,Adventure|Co-op|Dark|Dungeon Crawler|First-Person|Horror|Memes|Multiplayer|Mystery Dungeon|Online Co-Op|Psychedelic|Psychological|Psychological Horror|PvP|Retro,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1397030,Survive or Thrive,Randumb Studios,Randumb Studios,0.7509,Low-cost option,0.4771,0.7921,0.8351,0.8992,225,0.9822,Very Positive,"0 .. 20,000",10000.0,1.99,False,False,False,True,2020,RPG|Simulation,Artificial Intelligence|Choices Matter|Choose Your Own Adventure|Dinosaurs|Fishing|Horror|Hunting|Immersive Sim|Interactive Fiction|Life Sim|Multiple Endings|Open World|RPG|Simulation|Stealth,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1688580,A YEAR OF SPRINGS,npckc,npckc,0.7504,Low-cost option,0.7109,0.7921,0.7736,0.7249,679,0.9867,Overwhelmingly Positive,"0 .. 20,000",10000.0,4.99,True,False,False,True,2021,Casual|Indie|Simulation,2D|Anime|Atmospheric|Casual|Choices Matter|Choose Your Own Adventure|Cute|Emotional|Female Protagonist|Interactive Fiction|LGBTQ+|Multiple Endings|Music|Relaxing|Romance,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
577480,Higurashi When They Cry Hou - Ch. 5 Meakashi,07th Expansion,MangaGamer,0.7499,Depth,0.7091,0.7921,0.8255,0.6729,673,0.9733,Overwhelmingly Positive,"0 .. 20,000",10000.0,5.19,False,False,False,True,2017,Adventure,2D|Adventure|Anime|Atmospheric|Casual|Cute|Dark|Female Protagonist|Gore|Great Soundtrack|Horror|Indie|Linear|Mystery|Psychological,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
465020,Sector Six,V3663L,V3663L,0.7472,Low-cost option,0.506,0.7921,0.769,0.9217,254,0.937,Very Positive,"0 .. 20,000",10000.0,1.8,True,False,False,True,2018,Action|Indie|RPG,Action RPG|Atmospheric|Building|Character Customization|Dark|Dystopian|Gun Customization|Loot|Looter Shooter|Military|Procedural Generation|RPG|Real-Time|Sci-fi|Shoot 'Em Up,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1004490,Tools Up!,The Knights of Unity,"Untold Tales, Gamersky Games",0.7471,Low-cost option,0.7707,0.4783,0.94,0.7993,986,0.7799,Mostly Positive,"20,000 .. 50,000",35000.0,3.99,True,True,True,True,2019,Action|Adventure|Casual|Indie|Simulation,4 Player Local|Action|Adventure|Casual|Co-op|Co-op Campaign|Colorful|Cute|Difficult|Family Friendly|Funny|Great Soundtrack|Indie|Local Co-Op|Local Multiplayer,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
3024830,Chushpan Simulator 2,Sebasa Games,Sebasa Games,0.7468,Low-cost option,0.4191,0.7921,0.8505,0.9255,178,0.764,Mostly Positive,"0 .. 20,000",10000.0,1.49,True,False,False,True,2024,Action|Adventure|Indie|RPG|Simulation,Action|Adventure|Atmospheric|Boxing|Choices Matter|Combat|Comedy|Dark Humor|Emotional|First-Person|Funny|Indie|Life Sim|Memes|Open World,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
