2730,ThreadSpace: Hyperbol Demo,2007-07-06,demo,true,Iocaine Studios,Atari,0.0,0,20000,1,2,1;;;
2800,X2: The Threat,2006-07-21,game,false,Egosoft,Egosoft,4.99,200000,500000,9,1,8;;;
2810,X3: Reunion,2006-07-21,game,false,Egosoft,Egosoft,9.99,500000,1000000,25,1,10;;;
2820,X3: Terran Conflict,2008-10-16,game,false,Egosoft,Egosoft,15.99,500000,1000000,51,3,11;;;
2840,X: Beyond the Frontier,2010-10-08,game,false,Egosoft,Egosoft,4.99,200000,500000,3,2,2;;;
2850,X: Tension,2010-10-08,game,false,Egosoft,Egosoft,4.99,200000,500000,1,2,2;;;
2870,X Rebirth,2013-11-15,game,false,Egosoft,Egosoft,29.99,500000,1000000,18,2,8;;;
2900,688(I) Hunter/Killer,2006-10-26,game,false,Sonalysts,Strategy First,1.99,20000,50000,3,1,1;;;
2910,Fleet Command,2006-10-26,game,false,Sonalysts,Strategy First,9.99,50000,100000,14,1,1;;;
2920,Sub Command,2006-10-26,game,false,Sonalysts,Assemble Entertainment,9.99,50000,100000,2,1,1;;;
"2990,FlatOut 2,2006-12-21,game,false,""Bugbear Entertainment, ZOOM Platform Media, Jordan Freeman Group"",Strategy First,1.99,500000,1000000,186,1,9";;;
3010,Xpand Rally,2006-08-24,game,false,Techland,Techland,4.99,20000,50000,3,1,1;;;
3020,Call of Juarez,2007-11-08,game,false,Techland,Techland Publishing,9.99,500000,1000000,11,1,5;;;
3050,Xpand Rally Xtreme,2008-10-08,game,false,Techland,Techland,4.99,20000,50000,3,1,1;;;
3130,Men of War: Red Tide,2009-11-01,game,false,Fulqrum Publishing,Fulqrum Publishing,4.99,100000,200000,13,1,4;;;
3170,King's Bounty: Armored Princess,2009-11-19,game,false,Katauri Interactive,Fulqrum Publishing,9.99,200000,500000,65,2,7;;;
"3190,King's Bounty Armored Princess Demo,2009-12-02,demo,true,Katauri Interactive,""1C Company, 1C-SoftClub"",0.0,0,20000,1,1,1";;;
3210,Painkiller Demo,2007-01-24,demo,true,People Can Fly,Nordic Games,0.0,0,20000,1,1,0;;;
3230,Genesis Rising,2007-08-06,game,false,Metamorf,THQ Nordic,4.99,20000,50000,0,1,1;;;
3260,Safecracker: The Ultimate Puzzle Adventure,2007-08-29,game,false,Kheops Studio,HandyGames,4.99,100000,200000,0,2,4;;;
3270,Painkiller Overdose,2007-10-30,game,false,Mindware Studios,Prime Matter,0.99,100000,200000,3,1,2;;;
3280,Painkiller Overdose Demo,2007-10-17,demo,true,Mindware Studios,Nordic Games,0.0,0,20000,1,1,1;;;
"3300,Bejeweled 2 Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,50000,100000,41,1,5";;;
"3302,Bejeweled 2 Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,5";;;
"3310,Chuzzle Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,100000,200000,52,1,5";;;
"3312,Chuzzle Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,5";;;
"3320,Insaniquarium Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,500000,1000000,59,1,1";;;
"3322,Insaniquarium Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,8,1,5";;;
"3330,Zuma Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc., Electronic Arts"",4.99,500000,1000000,530,1,5";;;
"3332,Zuma Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,7,1,5";;;
"3340,AstroPop Deluxe,2006-08-30,game,false,""PopCap Games, Inc."",""PopCap Games, Inc."",4.99,50000,100000,1,1,1";;;
"3342,AstroPop Deluxe Free Demo,,demo,true,""PopCap Games, Inc."",""PopCap Games, Inc."",0.0,0,20000,1,1,1";;;
