app_id,review_score,total,total_bucket,total_bucket_range
1620750,5,113,4,100 - 500
1620800,7,18,2,10 - 50
1620820,0,0,1,0 - 10
1620850,7,29,2,10 - 50
1620860,6,21,2,10 - 50
1620870,5,10,2,10 - 50
1620890,8,357,4,100 - 500
1620920,8,55,3,50 - 100
1620970,0,3,1,0 - 10
1620980,0,0,1,0 - 10
1621000,0,4,1,0 - 10
1621050,0,0,1,0 - 10
1621070,6,5081,7,"5,000 - 10,000"
1621100,0,6,1,0 - 10
1621130,0,0,1,0 - 10
1621140,8,417,4,100 - 500
1621200,6,22,2,10 - 50
1621210,0,0,1,0 - 10
1621220,0,0,1,0 - 10
1621240,0,0,1,0 - 10
1621310,8,2085,6,"1,000 - 5,000"
1621320,7,48,2,10 - 50
1621350,0,0,1,0 - 10
1621380,7,15,2,10 - 50
1621390,0,0,1,0 - 10
1621400,0,2,1,0 - 10
1621420,5,13,2,10 - 50
1621450,0,4,1,0 - 10
1621480,0,0,1,0 - 10
1621490,6,114,4,100 - 500
1621500,0,0,1,0 - 10
1621540,0,0,1,0 - 10
1621560,8,908,5,"500 - 1,000"
1621570,0,0,1,0 - 10
1621600,0,0,1,0 - 10
1621620,0,0,1,0 - 10
1621680,6,224,4,100 - 500
1621690,8,41296,8,"10,000 - 50,000"
1621750,0,5,1,0 - 10
1621760,6,720,5,"500 - 1,000"
1621800,0,0,1,0 - 10
1621820,0,0,1,0 - 10
1621860,7,37,2,10 - 50
1621880,0,0,1,0 - 10
1621890,0,0,1,0 - 10
1621900,0,0,1,0 - 10
1621910,0,0,1,0 - 10
1621920,0,7,1,0 - 10
1621930,0,0,1,0 - 10
1621940,0,0,1,0 - 10
1621950,0,7,1,0 - 10
1621960,0,0,1,0 - 10
1621980,5,33,2,10 - 50
1621990,6,468,4,100 - 500
1622000,0,0,1,0 - 10
1622010,0,6,1,0 - 10
1622030,7,10,2,10 - 50
1622040,7,34,2,10 - 50
1622050,0,0,1,0 - 10
1622060,5,25,2,10 - 50
1622080,0,9,1,0 - 10
1622090,5,18,2,10 - 50
1622110,0,0,1,0 - 10
1622130,0,0,1,0 - 10
1622140,0,0,1,0 - 10
1622180,7,12,2,10 - 50
1622230,0,0,1,0 - 10
1622250,4,24,2,10 - 50
1622270,3,19,2,10 - 50
1622310,0,0,1,0 - 10
1622340,5,53,3,50 - 100
1622350,8,1105,6,"1,000 - 5,000"
1622360,0,8,1,0 - 10
1622380,0,0,1,0 - 10
1622410,0,0,1,0 - 10
1622420,0,6,1,0 - 10
1622450,0,0,1,0 - 10
1622470,7,38,2,10 - 50
1622480,0,0,1,0 - 10
1622510,7,22,2,10 - 50
1622560,6,13,2,10 - 50
1622570,0,0,1,0 - 10
1622590,0,0,1,0 - 10
1622600,5,10,2,10 - 50
1622610,5,15,2,10 - 50
1622630,0,0,1,0 - 10
1622640,5,17,2,10 - 50
1622660,5,13,2,10 - 50
1622680,8,54,3,50 - 100
1622690,7,22,2,10 - 50
1622710,6,146,4,100 - 500
1622720,4,11,2,10 - 50
1622740,0,0,1,0 - 10
1622770,8,1168,6,"1,000 - 5,000"
1622780,8,850,5,"500 - 1,000"
1622800,8,473,4,100 - 500
1622810,5,115,4,100 - 500
1622830,7,13,2,10 - 50
1622840,7,15,2,10 - 50
1622860,0,6,1,0 - 10
1622900,5,3188,6,"1,000 - 5,000"
1622910,8,4369,6,"1,000 - 5,000"
1622920,7,45,2,10 - 50
1622970,6,84,3,50 - 100
1622980,0,0,1,0 - 10
1622990,0,0,1,0 - 10
1623000,8,67,3,50 - 100
1623060,0,1,1,0 - 10
1623070,6,1003,6,"1,000 - 5,000"
1623080,6,65,3,50 - 100
1623090,5,26,2,10 - 50
1623120,7,21,2,10 - 50
1623130,0,1,1,0 - 10
1623210,6,506,5,"500 - 1,000"
1623220,0,3,1,0 - 10
1623240,6,25,2,10 - 50
1623260,0,0,1,0 - 10
1623300,3,17,2,10 - 50
1623310,7,27,2,10 - 50
1623320,0,4,1,0 - 10
1623340,7,11,2,10 - 50
1623350,0,0,1,0 - 10
1623370,0,3,1,0 - 10
1623380,7,45,2,10 - 50
1623390,5,72,3,50 - 100
1623410,0,0,1,0 - 10
1623420,8,208,4,100 - 500
1623440,7,29,2,10 - 50
1623520,0,0,1,0 - 10
1623530,5,30,2,10 - 50
1623550,0,0,1,0 - 10
1623560,0,5,1,0 - 10
1623580,0,0,1,0 - 10
1623640,0,4,1,0 - 10
1623650,7,14,2,10 - 50
1623660,5,14265,8,"10,000 - 50,000"
1623690,7,21,2,10 - 50
1623700,5,190,4,100 - 500
1623720,0,7,1,0 - 10
1623730,8,322331,10,"100,000 - 500,000"
1623770,0,0,1,0 - 10
1623790,0,0,1,0 - 10
1623800,0,0,1,0 - 10
1623830,0,0,1,0 - 10
1623850,7,11,2,10 - 50
1623870,0,8,1,0 - 10
1623880,8,1045,6,"1,000 - 5,000"
1623910,0,0,1,0 - 10
1623930,8,79,3,50 - 100
1623940,9,4635,6,"1,000 - 5,000"
1623950,0,0,1,0 - 10
1623960,7,18,2,10 - 50
1624000,0,0,1,0 - 10
1624020,0,0,1,0 - 10
1624050,0,1,1,0 - 10
1624060,5,115,4,100 - 500
1624080,0,0,1,0 - 10
1624130,0,0,1,0 - 10
1624150,0,0,1,0 - 10
1624160,0,6,1,0 - 10
1624170,0,0,1,0 - 10
1624180,7,16,2,10 - 50
1624190,0,0,1,0 - 10
1624200,0,2,1,0 - 10
1624210,7,20,2,10 - 50
1624220,7,12,2,10 - 50
1624250,0,0,1,0 - 10
1624270,0,0,1,0 - 10
1624300,0,0,1,0 - 10
1624310,0,1,1,0 - 10
1624320,8,62,3,50 - 100
1624340,0,8,1,0 - 10
1624350,7,25,2,10 - 50
1624380,8,202,4,100 - 500
1624460,7,32,2,10 - 50
1624470,7,11,2,10 - 50
1624490,0,0,1,0 - 10
1624540,8,6613,7,"5,000 - 10,000"
1624550,7,22,2,10 - 50
1624560,7,13,2,10 - 50
1624570,7,12,2,10 - 50
1624600,0,9,1,0 - 10
1624610,0,2,1,0 - 10
1624620,0,4,1,0 - 10
1624640,0,0,1,0 - 10
1624650,0,0,1,0 - 10
1624750,0,0,1,0 - 10
1624760,5,24,2,10 - 50
1624780,0,5,1,0 - 10
1624800,0,0,1,0 - 10
1624820,0,0,1,0 - 10
1624830,8,113,4,100 - 500
1624840,0,0,1,0 - 10
1624850,6,46,2,10 - 50
1624860,0,3,1,0 - 10
1624870,0,6,1,0 - 10
1624880,5,13,2,10 - 50
1624890,0,7,1,0 - 10
1624900,5,11,2,10 - 50
1624910,0,3,1,0 - 10
1624920,0,8,1,0 - 10
1624940,0,5,1,0 - 10
1624950,0,6,1,0 - 10
1624960,0,6,1,0 - 10
1624970,0,4,1,0 - 10
1624980,7,10,2,10 - 50
1624990,7,43,2,10 - 50
1625000,0,0,1,0 - 10
1625020,5,52,3,50 - 100
1625030,0,0,1,0 - 10
1625040,0,2,1,0 - 10
1625060,5,20,2,10 - 50
1625080,8,4360,6,"1,000 - 5,000"
1625090,0,0,1,0 - 10
1625100,7,11,2,10 - 50
1625110,6,48,2,10 - 50
1625130,7,12,2,10 - 50
1625150,0,0,1,0 - 10
1625160,0,0,1,0 - 10
1625170,0,0,1,0 - 10
1625190,0,1,1,0 - 10
1625230,8,176,4,100 - 500
1625260,5,25,2,10 - 50
1625270,7,13,2,10 - 50
1625280,0,3,1,0 - 10
1625310,8,79,3,50 - 100
1625330,0,3,1,0 - 10
1625340,5,31,2,10 - 50
1625370,7,27,2,10 - 50
1625380,0,3,1,0 - 10
1625390,0,1,1,0 - 10
1625420,0,5,1,0 - 10
1625440,7,19,2,10 - 50
1625450,8,169479,10,"100,000 - 500,000"
1625460,0,0,1,0 - 10
1625510,7,20,2,10 - 50
1625520,8,71,3,50 - 100
1625550,0,0,1,0 - 10
1625610,7,22,2,10 - 50
1625630,0,0,1,0 - 10
1625640,8,53,3,50 - 100
1625650,0,0,1,0 - 10
1625670,0,3,1,0 - 10
1625690,0,0,1,0 - 10
1625700,0,1,1,0 - 10
1625710,0,7,1,0 - 10
1625720,8,180,4,100 - 500
1625760,7,21,2,10 - 50
1625780,0,0,1,0 - 10
1625790,6,17,2,10 - 50
1625800,5,14,2,10 - 50
1625810,0,0,1,0 - 10
1625820,4,11,2,10 - 50
1625830,7,28,2,10 - 50
1625840,0,5,1,0 - 10
1625870,0,1,1,0 - 10
1625900,0,3,1,0 - 10
1625920,0,0,1,0 - 10
1625930,7,48,2,10 - 50
1625950,0,0,1,0 - 10
1625960,5,80,3,50 - 100
1625980,0,0,1,0 - 10
1625990,0,0,1,0 - 10
1626010,0,0,1,0 - 10
