fit_rank,app_id,name,release_date,genres,top_matching_tags,price_cents,price_usd,price_band,review_score,total,owners_range,owners_mid,performance_score,profile_fit_score,priority_score,evidence_tier,in_winner_cohort,in_top50_reference,gamepass_status,gamepass_note,is_top5_pick
13710,1727650,死寂（Deathly Stillness）,2021-09-04,"Action, Adventure, Casual, Free To Play, Indie","Multiplayer, Survival, Gore, FPS, Horror, Violent, Free to Play, Action",0,0.0,free,9,20835,"0 - 20,000",10000,-0.6112,43.57,53.65,high,0,0,unverified,,0
13768,404680,Hob,2017-09-26,"Action, Adventure, Indie","Great Soundtrack, Open World, Hack and Slash, Atmospheric, Action, Singleplayer, RPG, Adventure",399,3.99,$0.01-4.99,8,5101,"200,000 - 500,000",350000,-0.5273,43.53,54.07,high,0,0,unverified,,0
13841,1637320,Dome Keeper,2022-09-27,"Action, Adventure, Indie, Simulation","Replay Value, Tactical, Atmospheric, Physics, Resource Management, Roguelike, Post-apocalyptic, Action",899,8.99,$5-9.99,8,13532,"2,000,000 - 5,000,000",3500000,0.3758,43.47,58.79,high,0,0,unverified,,0
13892,1361510,Teenage Mutant Ninja Turtles: Shredder's Revenge,,"Action, Adventure, Casual, Indie","Multiplayer, Local Co-Op, Atmospheric, Action, Martial Arts, Singleplayer, Adventure, Indie",2499,24.99,$20-29.99,8,13209,"200,000 - 500,000",350000,-0.1921,43.43,55.78,high,0,0,unverified,,0
13991,384300,CPUCores :: Maximize Your FPS,2015-07-06,"Design & Illustration, Utilities","FPS, Mod, Action, Singleplayer, Indie",749,7.49,$5-9.99,6,10667,"500,000 - 1,000,000",750000,-0.6503,43.36,53.34,high,0,0,unverified,,0
14053,462770,Pyre,2017-07-25,"Action, Indie, RPG","Great Soundtrack, Local Multiplayer, Atmospheric, Music, Story Rich, Action, Singleplayer, RPG",1999,19.99,$15-19.99,8,8858,"500,000 - 1,000,000",750000,-0.1477,43.32,55.96,high,0,0,unverified,,0
14100,571310,SteamWorld Dig 2,2017-09-22,"Action, Adventure, Indie","Great Soundtrack, Action, Singleplayer, RPG, Adventure, Metroidvania, Indie, Platformer",1999,19.99,$15-19.99,9,7084,"200,000 - 500,000",350000,-0.1276,43.29,56.05,high,0,0,unverified,,0
14193,761620,Beholder 2,2018-12-04,"Adventure, Indie, Simulation, Strategy","Addictive, Simulation, Atmospheric, Violent, Psychological Horror, Strategy, Story Rich, Singleplayer",359,3.59,$0.01-4.99,8,6630,"500,000 - 1,000,000",750000,-0.2498,43.21,55.37,high,0,0,unverified,,0
14387,1497440,COCOON,2023-09-29,"Adventure, Indie","Great Soundtrack, Beautiful, Atmospheric, Isometric, Singleplayer, Sci-fi, Adventure, Indie",2499,24.99,$20-29.99,9,6250,"200,000 - 500,000",350000,-0.1717,43.08,55.71,high,0,0,unverified,,0
14431,1948280,Stacklands,2022-04-08,"Casual, Indie, Simulation","Building, Survival, Management, City Builder, Simulation, Roguelite, Strategy, Singleplayer",799,7.99,$5-9.99,9,24557,"500,000 - 1,000,000",750000,0.4955,43.05,59.21,high,0,0,unverified,,0
14504,1520370,Mon Bazou,2021-12-16,"Adventure, Casual, Early Access, Indie, Racing, Simulation","Sandbox, Open World, Building, Crafting, First-Person, Physics, Automobile Sim, Early Access",1599,15.99,$15-19.99,9,13093,"200,000 - 500,000",350000,0.0888,43.0,57.04,high,0,0,unverified,,0
