app_id,review_score,review_score_description,positive,negative,total,recommendations,steamspy_positive,steamspy_negative
1477890,6,Mostly Positive,31,8,39,,0,0
1477900,7,Positive,9,2,11,,9,2
1477920,5,Mixed,349,150,499,452,349,149
1477930,0,No user reviews,0,0,0,,0,0
1477940,4,Mostly Negative,110,254,364,,87,211
1477950,6,Mostly Positive,130,34,164,154,130,34
1477970,0,No user reviews,0,0,0,,0,0
1477980,8,Very Positive,62,12,74,,62,12
1478030,8,Very Positive,68,6,74,,68,6
1478040,0,No user reviews,0,0,0,,0,0
1478050,6,Mostly Positive,193,66,259,,193,66
1478070,8,Very Positive,754,48,802,,754,48
1478080,0,3 user reviews,2,1,3,,2,1
1478140,0,No user reviews,0,0,0,,0,0
1478160,8,Very Positive,1376,144,1520,1418,1374,144
1478170,0,No user reviews,0,0,0,,0,0
1478180,7,Positive,27,2,29,,27,2
1478200,0,No user reviews,0,0,0,,0,0
1478210,7,Positive,11,1,12,,11,1
1478220,8,Very Positive,3605,575,4180,,3605,574
1478230,0,No user reviews,0,0,0,,0,0
1478240,7,Positive,12,0,12,,12,0
1478260,0,No user reviews,0,0,0,,0,0
1478270,0,No user reviews,0,0,0,,0,0
1478280,0,No user reviews,0,0,0,,0,0
1478290,0,No user reviews,0,0,0,,0,0
1478310,7,Positive,15,3,18,,15,3
1478320,7,Positive,22,1,23,,22,1
1478340,8,Very Positive,142,12,154,,142,12
1478350,8,Very Positive,145,23,168,120,145,23
1478380,0,No user reviews,0,0,0,,0,0
1478400,0,No user reviews,0,0,0,,0,0
1478410,8,Very Positive,318,9,327,312,318,9
1478420,6,Mostly Positive,14,5,19,,14,5
1478440,5,Mixed,11,12,23,,11,12
1478470,6,Mostly Positive,7,3,10,,7,3
1478480,0,4 user reviews,4,0,4,,4,0
1478500,0,No user reviews,0,0,0,,0,0
1478530,0,No user reviews,0,0,0,,0,0
1478590,6,Mostly Positive,16,6,22,,16,6
1478600,6,Mostly Positive,42,15,57,,42,15
1478610,0,5 user reviews,5,0,5,,0,0
1478620,7,Positive,13,1,14,,13,1
1478630,0,3 user reviews,1,2,3,,1,2
1478640,0,No user reviews,0,0,0,,0,0
1478650,8,Very Positive,505,62,567,536,505,62
1478660,0,No user reviews,0,0,0,,0,0
1478670,5,Mixed,23,24,47,,23,24
1478700,0,No user reviews,0,0,0,,0,0
1478710,0,No user reviews,0,0,0,,0,0
1478730,0,No user reviews,0,0,0,,0,0
1478740,0,3 user reviews,3,0,3,,0,0
1478770,0,4 user reviews,4,0,4,,0,0
1478780,0,9 user reviews,7,2,9,,7,2
