app_id,language
8980,English
8980,French
8980,Spanish - Spain
8980,German
8980,Italian
9010,English
9050,English
9050,German
9050,Italian
9050,Spanish - Spain
9050,French
9060,English
9120,English
9180,English
9200,English
9200,Czech
9200,French
9200,German
9200,Italian
9200,Japanese
9200,Polish
9200,Russian
9200,Spanish - Spain
9300,English
9310,English
9310,French
9310,German
9310,Italian
9310,Spanish - Spain
9320,English
9330,English
9340,English
9350,English
9350,Czech
9350,French
9350,German
9350,Italian
9350,Polish
9350,Russian
9350,Spanish - Spain
9420,English
9420,French
9420,Italian
9420,German
9420,Spanish - Spain
9420,Czech
9420,Polish
9420,Russian
9420,Traditional Chinese
9440,English
9450,English
9450,French
9450,German
9460,English
9460,French
9460,Italian
9460,Spanish - Spain
9480,English
9480,French
9480,German
9480,Italian
9480,Spanish - Spain
9480,Dutch
9480,Danish
9480,Swedish
9480,Russian
9500,English
9510,English
9710,English
9730,English
9760,English
9800,English
9800,Russian
9800,French
9800,Italian
9800,German
9800,Spanish - Spain
9850,English
9850,French
9850,German
9850,Spanish - Spain
9850,Italian
9880,English
9900,English
9900,French
9900,German
9940,English
9940,French
9940,German
9940,Italian
9940,Spanish - Spain
9960,English
9960,French
9960,German
9970,English
9970,French
9970,German
9980,English
9980,French
9980,German
10090,English
10090,French
10090,Italian
10090,German
10090,Spanish - Spain
10100,English
10110,English
10120,English
10120,French
10120,German
10120,Italian
10120,Spanish - Spain
10130,English
10140,English
10140,French
10140,German
10140,Italian
10140,Spanish - Spain
10150,English
10150,French
10150,Spanish - Spain
10150,Italian
10180,English
10180,French
10180,German
10180,Italian
10180,Spanish - Spain
10220,English
10220,Russian
10220,German
10220,French
10220,Japanese
10220,Polish
10220,Portuguese - Brazil
10230,English
10230,German
10230,Russian
10240,English
10250,English
10260,English
10270,English
10270,Russian
10460,English
10500,English
10500,French
10500,Italian
10500,German
10500,Spanish - Spain
10500,Russian
10500,Polish
10500,Czech
10520,English
10620,English
10680,English
10680,French
10680,German
10680,Italian
10680,Russian
10680,Spanish - Spain
11000,English
11020,English
11020,French
11020,German
11020,Italian
11020,Spanish - Spain
11020,Portuguese - Portugal
11020,Japanese
11020,Traditional Chinese
11020,Korean
11020,Dutch
11020,Russian
11020,Hungarian
11020,Czech
11020,Polish
11040,English
11040,French
11040,Italian
11040,German
11040,Russian
11050,English
11050,French
11050,German
11050,Italian
11050,Polish
11050,Russian
11050,Spanish - Spain
11080,English
11090,English
11130,English
11130,French
11130,German
11130,Italian
11130,Polish
11130,Portuguese - Brazil
11130,Russian
11130,Spanish - Spain
11140,English
11140,French
11140,German
11140,Italian
11140,Polish
11140,Russian
11150,English
11150,Bulgarian
11150,Czech
11150,French
11150,German
11150,Italian
11150,Polish
11150,Russian
11150,Spanish - Spain
11180,English
11180,French
11180,German
11180,Spanish - Spain
11190,English
11190,Czech
11190,French
11190,German
11190,Italian
11190,Polish
11190,Portuguese - Portugal
11190,Portuguese - Brazil
11190,Russian
11190,Spanish - Spain
11200,English
11200,French
11200,Spanish - Spain
11220,English
11230,English
11230,German
11230,Polish
11230,Czech
