app_id,name,developer,publisher,composite_score,tier,recognition_pct,headroom_pct,fit_pct,review_total,review_positive_ratio,review_score_bucket,owners_range,owners_mid,price_usd,metacritic_score,has_controller_support,is_indie,has_coop,has_multiplayer,release_year,genres,tags,screen_review_total_ge_4000,screen_quality_ge_0.70,screen_owners_le_750k,screen_monetisation_paid,screen_has_controller_support,screen_gamepass_availability
213610,Sonic Adventure 2,SEGA,SEGA,0.8501,Anchor,0.9376,0.7915,0.6467,21688,0.8865,Very Positive,"500,000 .. 1,000,000",750000.0,9.99,,True,False,False,True,2012,Action,3D|3D Platformer|Action|Adventure|Classic|Comedy|Family Friendly|Fast-Paced|Great Soundtrack|Local Multiplayer|Multiplayer|Platformer|Racing|Replay Value|Retro,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
512900,Streets of Rogue,Matt Dabrowski,tinyBuild,0.8499,Anchor,0.9363,0.7815,0.6916,21224,0.9613,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,19.99,,True,True,True,True,2019,Action|Adventure|Indie|RPG,2D|Action|Action Roguelike|Adventure|Co-op|Funny|Gore|Great Soundtrack|Immersive Sim|Indie|Local Co-Op|Multiplayer|Online Co-Op|Pixel Graphics|Procedural Generation,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
2378900,The Coffin of Andy and Leyley,Kit9 Studio,Kit9 Studio,0.8494,Anchor,0.9501,0.839,0.3883,23530,0.9659,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,9.99,,True,False,False,False,,Adventure|Early Access|RPG,Adventure|Choices Matter|Dark|Dark Comedy|Demons|Drama|Early Access|Exploration|Female Protagonist|Hand-drawn|Horror|Multiple Endings|Psychological|Puzzle|RPG,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1718570,ASTLIBRA Revision,KEIZO,WhisperGames,0.8464,Anchor,0.9576,0.8602,0.236,24563,0.9579,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,24.99,,True,False,False,False,2022,Action|Adventure|RPG,2D|Action|Action RPG|Adventure|Demons|Dragons|Drama|Fantasy|Futuristic|Gothic|JRPG|Metroidvania|Modern|Mythology|RPG,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
400910,Rabi-Ribi,"CreSpirit, GemaYue",CreSpirit,0.8462,Depth,0.7453,0.99,0.7753,11614,0.96,Overwhelmingly Positive,"100,000 .. 200,000",150000.0,17.99,,True,True,False,False,2016,Action|Adventure|Casual|Indie,2D|Action|Action-Adventure|Adventure|Anime|Bullet Hell|Colorful|Crowdfunded|Cute|Difficult|Exploration|Fantasy|Female Protagonist|Indie|Magic,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1149620,Gas Station Simulator,DRAGO entertainment,"DRAGO entertainment, Movie Games S.A., HeartBeat Games",0.8449,Anchor,0.9476,0.8327,0.3808,23366,0.8794,Very Positive,"500,000 .. 1,000,000",750000.0,19.99,72,True,True,False,False,2021,Indie|Simulation,Base Building|Building|Casual|Choices Matter|Crafting|Design & Illustration|Destruction|Economy|Family Friendly|First-Person|Funny|Indie|Management|Memes|Multiplayer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1449690,The Walking Dead: The Telltale Definitive Series,Skybound Games,Skybound Games,0.8433,Anchor,0.9451,0.8277,0.397,23121,0.9651,Overwhelmingly Positive,"500,000 .. 1,000,000",750000.0,49.99,,True,False,False,False,2020,Adventure,3D|Adventure|Atmospheric|Choices Matter|Choose Your Own Adventure|Comic Book|Conversation|Dark|Dynamic Narration|Dystopian|Horror|Interactive Fiction|Multiple Endings|Narration|Point & Click,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1533420,Neon White,Angel Matrix,Annapurna Interactive,0.8426,Anchor,0.8639,0.9526,0.2959,16019,0.9825,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,24.99,89,True,True,False,False,2022,Action|Adventure|Indie,3D|3D Platformer|Action|Adventure|Anime|Combat|Comedy|Dating Sim|FPS|Fast-Paced|First-Person|Indie|Mystery|Parkour|Platformer,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1102130,Florence,Mountains,Annapurna Interactive,0.8419,Depth,0.7878,0.9039,0.8652,12982,0.9344,Very Positive,"200,000 .. 500,000",350000.0,5.99,,True,True,False,False,,Adventure|Casual|Indie,2D|Adventure|Casual|Colorful|Cute|Dating Sim|Drama|Family Friendly|Female Protagonist|Indie|Interactive Fiction|Music|Narrative|Point & Click|Romance,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
1746030,Murders on the Yangtze River,OMEGAMES STUDIO,"OMEGAMES STUDIO, NPC Entertainment",0.837,Depth,0.804,0.9189,0.6742,13627,0.9749,Overwhelmingly Positive,"200,000 .. 500,000",350000.0,11.99,,True,True,False,False,2024,Adventure|Indie|RPG,2D|Adventure|Colorful|Detective|Drama|Exploration|First-Person|Historical|Indie|Investigation|Logic|Lore-Rich|Mystery|Old School|Puzzle,PASS,PASS,PASS,PASS,PASS,PENDING_EXTERNAL_CHECK
