app_id,category_count,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,category_22,category_23
2310,14,Co-op,Cross-Platform Multiplayer,Family Sharing,Full controller support,Multi-player,Online Co-op,Online PvP,PvP,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,Steam Cloud,,,,,,,,,
2320,15,Co-op,Cross-Platform Multiplayer,Family Sharing,Full controller support,Multi-player,Online Co-op,Online PvP,PvP,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,Steam Cloud,Steam Trading Cards,,,,,,,,
2360,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
2370,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
2390,4,Family Sharing,Multi-player,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,
2400,8,Family Sharing,LAN PvP,Multi-player,Online PvP,PvP,Single-player,Steam Trading Cards,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,
2420,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
2450,4,Family Sharing,Multi-player,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,
2500,6,Family Sharing,Multi-player,Remote Play Together,Shared/Split Screen,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,
2510,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
2520,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
2540,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
2590,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
2600,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
2610,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
2620,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
2630,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
2640,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
2700,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
2710,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
2720,9,Co-op,Family Sharing,Includes level editor,LAN Co-op,LAN PvP,Multi-player,Online Co-op,Online PvP,PvP,,,,,,,,,,,,,,
2730,3,Game demo,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
2800,4,Captions available,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,
2810,4,Captions available,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,
2820,6,Captions available,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,,,,,,,,,,,,,,,,,
2840,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
2850,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
2870,8,Captions available,Family Sharing,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,Steam Workshop,,,,,,,,,,,,,,,
2900,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
2910,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
2920,5,Co-op,Family Sharing,Includes level editor,Multi-player,Single-player,,,,,,,,,,,,,,,,,,
2990,10,Family Sharing,LAN PvP,Multi-player,Online PvP,Partial Controller Support,PvP,Single-player,Steam Cloud,Steam Trading Cards,Steam Workshop,,,,,,,,,,,,,
