app_id,tag_count,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20
2562130,17,2D,Board Game,Dungeon Crawler,Fantasy,Funny,Pixel Graphics,Puzzle,Roguelike,Roguelite,RPG,Singleplayer,Spelling,Strategy,Strategy RPG,Turn-Based Combat,Turn-Based Strategy,Word Game,,,
2562210,20,2D,2D Platformer,Adventure,Arcade,Atmospheric,Casual,Cinematic,Controller,Dark,Indie,Linear,Minimalist,Mystery,Pixel Graphics,Platformer,Puzzle,Puzzle Platformer,Singleplayer,Strategy,Surreal
2562240,20,3D,Arcade,Atmospheric,Casual,Character Customization,Emotional,Funny,Indie,Linear,Logic,Massively Multiplayer,Multiplayer,PvP,Realistic,Relaxing,Runner,Simulation,Space,Tactical,Third Person
2562280,20,2D Platformer,Action,Atmospheric,Cute,Difficult,Experimental,Exploration,Fast-Paced,Level Editor,Minimalist,Nonlinear,Pixel Graphics,Platformer,Precision Platformer,Puzzle Platformer,Retro,Roguelite,Shooter,Singleplayer,Time Attack
2562290,20,2D,Adventure,Atmospheric,Casual,Choices Matter,Choose Your Own Adventure,Drama,Emotional,Exploration,Female Protagonist,Interactive Fiction,Narration,Psychological,Psychological Horror,Puzzle,Singleplayer,Story Rich,Surreal,Text-Based,Visual Novel
2562300,16,3D,3D Platformer,Action,Action-Adventure,Adventure,Atmospheric,Dark,Emotional,Hidden Object,Indie,Magic,Shooter,Singleplayer,Story Rich,Third Person,Third-Person Shooter,,,,
2562310,20,3D,Atmospheric,Automation,Casual,Clicker,Creature Collector,Dark Fantasy,Dark Humor,Demons,Economy,Farming Sim,Gothic,Horror,Idler,Life Sim,Magic,Management,Simulation,Survival Horror,Top-Down
2562350,20,3D,3D Platformer,Action-Adventure,Adventure,Atmospheric,Casual,Choose Your Own Adventure,Comedy,Cute,Exploration,First-Person,Funny,Horror,Indie,Mystery,Puzzle,Singleplayer,Story Rich,Violent,Walking Simulator
2562360,20,2.5D,2D,3D,Action,Anime,Arcade,Atmospheric,Controller,Driving,Exploration,Indie,Multiplayer,Open World,Pixel Graphics,PvP,Racing,Retro,RPG,Singleplayer,Sports
2562390,20,1980s,3D,Action,Action Roguelike,Action-Adventure,Adventure,Atmospheric,Cartoony,Co-op,Exploration,First-Person,Funny,Horror,Indie,Multiplayer,Online Co-Op,Puzzle,Runner,Singleplayer,Survival Horror
2562400,18,2D,Adventure,Card Game,Comic Book,Dark Fantasy,Free to Play,Hand-drawn,Medieval,Nonlinear,Perma Death,Roguelike,Roguelite,RPG,Singleplayer,Strategy,Strategy RPG,Stylized,Turn-Based Tactics,,
2562410,17,3D,3D Fighter,3D Platformer,Action,Action RPG,Action-Adventure,Adventure,Combat,CRPG,Female Protagonist,Mythology,Nudity,Realistic,RPG,Singleplayer,Third Person,Underground,,,
2562430,20,2D,Anime,Comedy,Cute,Dating Sim,Drama,Fantasy,Female Protagonist,Interactive Fiction,LGBTQ+,Lore-Rich,Magic,Match 3,Otome,Relaxing,Romance,RPG,Simulation,Text-Based,Visual Novel
2562450,20,2D,2D Platformer,3D,3D Platformer,Action RPG,Artificial Intelligence,Casual,Drama,Fantasy,First-Person,Free to Play,Multiplayer,Open World,Platformer,PvP,Relaxing,RPG,Space,Third Person,VR
2562460,15,3D,3D Platformer,Action,Action-Adventure,Casual,Collectathon,Comedy,Controller,Funny,Indie,Singleplayer,Space,Story Rich,Surreal,Third Person,,,,,
2562470,20,3D Platformer,Action,Adventure,Arcade,Atmospheric,Character Customization,Dark Humor,Funny,Horror,Intentionally Awkward Controls,Linear,Multiplayer,Parkour,Philosophical,Physics,Platformer,Precision Platformer,Psychological Horror,Singleplayer,Souls-like
2562510,20,Adventure,Casual,Choices Matter,Choose Your Own Adventure,Colorful,Dark Comedy,Exploration,Horror,Immersive Sim,Memes,Mystery,Psychological,Psychological Horror,Simulation,Story Rich,Survival,Survival Horror,Text-Based,Thriller,Visual Novel
2562550,20,2D,Adventure,Anime,Choices Matter,Controller,Cute,Dungeon Crawler,Exploration,Fantasy,Female Protagonist,Hentai,JRPG,LGBTQ+,Multiple Endings,NSFW,Puzzle,RPG,Sexual Content,Story Rich,Visual Novel
2562580,9,2D,Cartoony,Casual,Choices Matter,Drama,Emotional,Singleplayer,Text-Based,Visual Novel,,,,,,,,,,,
2562590,5,2D,Pixel Graphics,RPG,Sci-fi,Singleplayer,,,,,,,,,,,,,,,
2562610,9,Casual,Colorful,Detective,Family Friendly,Female Protagonist,Hidden Object,Indie,Puzzle,Singleplayer,,,,,,,,,,,
2562620,18,2D,Adventure,Agriculture,Casual,Cooking,Crafting,Emotional,Exploration,Hand-drawn,Indie,Life Sim,Open World,Relaxing,Romance,RPG,Singleplayer,Story Rich,Top-Down,,
2562670,20,2D,6DOF,Action,Action Roguelike,Adventure,Atmospheric,Combat,Early Access,Hand-drawn,Linear,Old School,Open World,Pixel Graphics,Post-apocalyptic,Relaxing,Retro,Shooter,Singleplayer,Survival,Zombies
2562710,18,6DOF,Action,Arcade,Boxing,Cyberpunk,Early Access,Futuristic,Gaming,Indie,Level Editor,Retro,Rhythm,Sci-fi,Simulation,Singleplayer,Space,Sports,VR,,
2562730,20,2D,Action,Atmospheric,Auto Battler,Bullet Time,Character Customization,Choices Matter,Class-Based,Clicker,Colorful,Fantasy,Idler,Roguelike,Roguelite,RPG,Singleplayer,Strategy,Stylized,Top-Down,Tower Defense
2562810,20,2D Platformer,3D,3D Platformer,Action-Adventure,Adventure,Cartoon,Cartoony,Comedy,Comic Book,Cute,Early Access,Exploration,Fantasy,Nature,Parkour,Platformer,Runner,Strategy,Stylized,Third Person
2562870,10,3D,Atmospheric,Casual,Family Friendly,Indie,Linear,Logic,Puzzle,Realistic,Singleplayer,,,,,,,,,,
2562900,20,2D,2D Platformer,Action,Adventure,Asynchronous Multiplayer,Atmospheric,Cyberpunk,Difficult,Female Protagonist,Hand-drawn,Indie,LGBTQ+,Metroidvania,Platformer,Precision Platformer,Puzzle Platformer,Side Scroller,Singleplayer,Soundtrack,Story Rich
2562980,20,3D,3D Platformer,3D Vision,Action,Atmospheric,Casual,Character Customization,Colorful,First-Person,Free to Play,Indie,Logic,Minimalist,Parkour,Platformer,Puzzle,Puzzle Platformer,Singleplayer,Third Person,Top-Down
2563030,20,1980s,2D,2D Fighter,4 Player Local,Action,Beat 'em up,Co-op,Co-op Campaign,Colorful,Destruction,Fighting,Local Co-Op,Local Multiplayer,Martial Arts,Multiplayer,Old School,Physics,Pixel Graphics,Retro,Side Scroller
