"app_id","genre"
"11370","Indie"
"11390","Action"
"11390","Racing"
"11390","Simulation"
"11450","RPG"
"11470","RPG"
"11480","Strategy"
"11550","Action"
"11560","Strategy"
"11590","Simulation"
"11910","Casual"
"11920","Casual"
"12130","Action"
"12140","Action"
"12150","Action"
"12180","Action"
"12200","Action"
"12200","Adventure"
"12210","Action"
"12210","Adventure"
"12220","Action"
"12310","Adventure"
"12310","Casual"
"12310","RPG"
"12320","Action"
"12320","RPG"
"12330","Action"
"12340","Adventure"
"12360","Racing"
"12390","Action"
"12420","Strategy"
"12430","Casual"
"12440","Adventure"
"12450","Adventure"
"12460","Strategy"
"12470","Strategy"
"12480","Strategy"
"12500","Casual"
"12510","Strategy"
"12520","Racing"
"12530","Action"
"12530","Adventure"
"12530","Strategy"
"12540","Casual"
"12560","Simulation"
"12590","Racing"
"12600","Racing"
"12640","RPG"
"12670","Simulation"
"12690","Simulation"
"12690","Sports"
"12710","RPG"
"12770","RPG"
"12790","Action"
"12790","Adventure"
"12810","RPG"
"12820","RPG"
"12830","Action"
"12890","Action"
"12900","Indie"
"12910","Indie"
"13000","Casual"
"13000","Indie"
"13010","Casual"
"13010","Indie"
"13140","Action"
"13500","Action"
"13500","Adventure"
"13520","Action"
"13530","Action"
"13530","Adventure"
"13540","Action"
"13560","Action"
"13570","Action"
"13580","Action"
"13600","Action"
"13600","Adventure"
"13620","Action"
"13630","Action"
"15000","Action"
"15080","Action"
"15080","Adventure"
"15100","Action"
"15100","Adventure"
"15120","Action"
"15130","Action"
"15130","Adventure"
"15160","Simulation"
"15170","Strategy"
"15190","Action"
"15200","Simulation"
"15210","Simulation"
"15240","Simulation"
"15270","Action"
"15300","Action"
"15320","Simulation"
"15370","Strategy"
"15380","Strategy"
"15390","Action"
"15400","Indie"
"15400","Strategy"
"15500","Casual"
"15500","Indie"
"15510","Casual"
"15510","Indie"
"15520","Action"
"15520","Indie"
"15520","Sports"
"15560","Action"
"15560","Indie"
"15560","Sports"
"15620","Strategy"
"15680","Strategy"
"15700","Adventure"
"15710","Adventure"
"15720","Adventure"
"15730","Adventure"
"15740","Action"
"15740","Adventure"
"15740","Strategy"
"15750","Action"
"15750","Adventure"
"15750","Strategy"
"15800","Casual"
"15800","Indie"
"15810","Casual"
"15900","Casual"
"15902","Casual"
"15910","Casual"
"15912","Casual"
"15920","Casual"
"15922","Casual"
"15930","Casual"
"15932","Casual"
"15952","Casual"
"15960","Casual"
"15962","Casual"
"15970","Casual"
"15972","Casual"
"16000","Casual"
"16002","Casual"
"16020","Casual"
"16022","Casual"
"16030","Casual"
"16032","Casual"
"16040","Casual"
"16042","Casual"
"16060","Casual"
"16062","Casual"
"16100","Casual"
"16100","Simulation"
"16110","Casual"
"16110","Simulation"
"16120","Casual"
"16120","Simulation"
"16130","Casual"
"16130","Simulation"
"16140","Casual"
"16140","Simulation"
"16150","Casual"
"16150","Simulation"
"16160","Casual"
"16160","Simulation"
"16170","Casual"
"16170","Simulation"
"16180","Casual"
"16180","Simulation"
"16190","Casual"
"16190","Simulation"
"16200","Casual"
"16200","Simulation"
"16210","Casual"
"16210","Simulation"
"16300","Casual"
"16300","Indie"
"16450","Action"
"16470","Action"
"16500","Casual"
"16500","Indie"
"16510","Casual"
"16510","Indie"
"16600","Indie"
"16600","Racing"
"16600","Sports"
"16610","Indie"
"16610","Racing"
"16610","Sports"
"16620","Indie"
"16620","Racing"
"16620","Sports"
"16630","Indie"
"16630","Racing"
"16630","Sports"
"16710","Action"
"16710","Adventure"
"16720","Action"
"16730","Action"
"16810","Strategy"
"16900","Action"
"16900","Early Access"
"16900","Indie"
"16900","Simulation"
"17020","Action"
"17020","Free To Play"
"17020","Massively Multiplayer"
"17020","RPG"
"17080","Action"
"17080","Free To Play"
"17100","Simulation"
"17100","Strategy"
"17110","Simulation"
"17110","Strategy"
"17120","Simulation"
"17120","Strategy"
"17140","RPG"
"17140","Strategy"
"17180","Strategy"
"17330","Action"
"17390","Action"
"17390","Adventure"
"17390","Casual"
"17390","RPG"
"17390","Simulation"
"17390","Strategy"
"17410","Action"
"17410","Adventure"
"17440","Simulation"
"17460","Action"
"17460","RPG"
"17470","Action"
"17470","Adventure"
"17480","Strategy"
"17500","Action"
"17500","Adventure"
"17500","Casual"
"17500","Free To Play"
"17500","Indie"
"17570","Action"
"17570","Free To Play"
"17570","Indie"
"17580","Action"
"17580","Free To Play"
"17580","Indie"
"17710","Action"
"17710","Strategy"
"17740","Action"
"17740","Free To Play"
"17740","Strategy"
"18000","Adventure"
"18000","RPG"
"18010","Adventure"
"18010","RPG"
"18020","Adventure"
"18020","RPG"
"18030","Adventure"
"18030","RPG"
"18040","Action"
"18040","Indie"
"18040","RPG"
"18050","Action"
"18050","Indie"
"18050","RPG"
"18070","Action"
"18070","Adventure"
"18070","RPG"
"18110","Action"
"18110","Indie"
"18120","Action"
"18120","Casual"
"18120","Indie"
"18120","Strategy"
"18300","Casual"
"18300","Indie"
"18400","Casual"
"18400","Strategy"
"18420","Casual"
"18420","Strategy"
"18430","Casual"
"18430","Strategy"
"18470","Strategy"
"18480","Adventure"
"18500","Indie"
"18500","Strategy"
"18510","Indie"
"18510","Strategy"
"18600","Indie"
"18600","Strategy"
"18610","Strategy"
"18700","Action"
"18700","Indie"
"18710","Action"
"18710","Indie"
"18800","Action"
"18800","Indie"
"18800","Racing"
"18800","Sports"
"18820","Action"
"18820","Indie"
"18820","Racing"
"18820","Sports"
"19000","Adventure"
"19020","Casual"
"19020","RPG"
"19200","Action"
"19200","Indie"
"19210","Action"
"19210","Indie"
"19320","Action"
"19320","Casual"
"19320","Indie"
"19500","Adventure"
"19500","Indie"
"19510","Adventure"
"19510","Indie"
"19680","Action"
"19680","Adventure"
"19800","Action"
"19830","Action"
"19900","Action"
"19980","Action"
"19980","Adventure"
"20200","Casual"
"20200","Indie"
"20200","Sports"
"20500","Action"
"20510","Action"
"20510","RPG"
"20530","Action"
"20540","Strategy"
"20550","Action"
"20550","Strategy"
"20570","Strategy"
"20700","Action"
"20700","Indie"
"20700","Strategy"
"20710","Action"
"20710","Indie"
"20710","Strategy"
"20720","Action"
"20720","Indie"
"20720","Strategy"
"20730","Action"
"20730","Indie"
"20730","Strategy"
"20820","Action"
"20820","Indie"
"20920","RPG"
"21000","Action"
"21000","Adventure"
"21010","Action"
"21020","Action"
"21030","Action"
"21090","Action"
"21100","Action"
"21130","Action"
"21130","Adventure"
"21300","Casual"
"21300","Indie"
"21310","Casual"
"21310","Indie"
"21400","Action"
"21400","Indie"
"21400","Strategy"
"21410","Action"
"21410","Indie"
"21410","Strategy"
"21500","Racing"
"21510","Racing"
"21650","Casual"
"21650","Strategy"
"21660","Action"
"21670","Action"
"21670","Adventure"
"21680","Action"
"21690","Action"
"21690","Adventure"
"21780","Racing"
"21800","Strategy"
"21980","Action"
"22000","Indie"
"22010","Indie"
"22100","Indie"
"22100","RPG"
"22110","RPG"
"22120","Action"
"22120","Adventure"
"22120","Indie"
"22130","Strategy"
