"app_id","category"
"3050","Family Sharing"
"3050","Multi-player"
"3050","Single-player"
"3130","Family Sharing"
"3130","Single-player"
"3130","Steam Cloud"
"3170","Family Sharing"
"3170","Single-player"
"3170","Steam Cloud"
"3190","Game demo"
"3190","Single-player"
"3210","Game demo"
"3210","Single-player"
"3230","Family Sharing"
"3230","Multi-player"
"3230","Single-player"
"3260","Family Sharing"
"3260","Single-player"
"3270","Family Sharing"
"3270","Multi-player"
"3270","Single-player"
"3280","Game demo"
"3280","Multi-player"
"3280","Single-player"
"3300","Family Sharing"
"3300","Remote Play on Phone"
"3300","Remote Play on Tablet"
"3300","Single-player"
"3302","Game demo"
"3302","Single-player"
"3310","Family Sharing"
"3310","Single-player"
"3312","Game demo"
"3312","Single-player"
"3320","Family Sharing"
"3320","Single-player"
"3322","Game demo"
"3322","Single-player"
"3330","Family Sharing"
"3330","Single-player"
"3332","Game demo"
"3332","Single-player"
"3340","Family Sharing"
"3340","Single-player"
"3342","Game demo"
"3342","Single-player"
"3350","Family Sharing"
"3350","Remote Play on Phone"
"3350","Remote Play on Tablet"
"3350","Single-player"
"3352","Game demo"
"3352","Single-player"
"3360","Family Sharing"
"3360","Single-player"
"3362","Game demo"
"3362","Single-player"
"3380","Family Sharing"
"3380","Single-player"
"3382","Game demo"
"3382","Single-player"
"3390","Family Sharing"
"3390","Single-player"
"3392","Game demo"
"3392","Single-player"
"3400","Family Sharing"
"3400","Single-player"
"3410","Family Sharing"
"3410","Single-player"
"3412","Game demo"
"3412","Single-player"
"3420","Family Sharing"
"3420","Single-player"
"3422","Game demo"
"3422","Single-player"
"3430","Family Sharing"
"3430","Single-player"
"3432","Game demo"
"3432","Single-player"
"3450","Family Sharing"
"3450","Single-player"
"3452","Game demo"
"3452","Single-player"
"3460","Family Sharing"
"3460","Single-player"
"3462","Game demo"
"3462","Single-player"
"3480","Family Sharing"
"3480","Remote Play on Phone"
"3480","Remote Play on Tablet"
"3480","Single-player"
"3482","Game demo"
"3482","Single-player"
"3483","Remote Play on Phone"
"3483","Remote Play on Tablet"
"3483","Single-player"
"3490","Family Sharing"
"3490","Single-player"
"3500","Family Sharing"
"3500","Single-player"
"3502","Game demo"
"3502","Single-player"
"3510","Family Sharing"
"3510","Single-player"
"3512","Game demo"
"3512","Single-player"
"3520","Family Sharing"
"3520","Single-player"
"3522","Game demo"
"3522","Single-player"
"3530","Family Sharing"
"3530","Single-player"
"3532","Game demo"
"3532","Single-player"
"3540","Family Sharing"
"3540","Remote Play on Phone"
"3540","Remote Play on Tablet"
"3540","Single-player"
"3560","Family Sharing"
"3560","Single-player"
"3562","Game demo"
"3562","Single-player"
"3570","Family Sharing"
"3570","Single-player"
"3572","Game demo"
"3572","Single-player"
"3580","Family Sharing"
"3580","Single-player"
"3582","Game demo"
"3582","Single-player"
"3590","Family Sharing"
"3590","Remote Play on Phone"
"3590","Remote Play on Tablet"
"3590","Single-player"
"3590","Steam Achievements"
"3592","Game demo"
"3592","Single-player"
"3600","Family Sharing"
"3600","Single-player"
"3602","Game demo"
"3602","Single-player"
"3610","Family Sharing"
"3610","Single-player"
"3612","Game demo"
"3612","Single-player"
"3620","Family Sharing"
"3620","Single-player"
"3620","Stats"
"3620","Steam Achievements"
"3622","Game demo"
"3622","Single-player"
"3700","Family Sharing"
"3700","Single-player"
"3700","Steam Trading Cards"
"3710","Co-op"
"3710","Family Sharing"
"3710","Multi-player"
"3710","Single-player"
"3720","Family Sharing"
"3720","Single-player"
"3730","Family Sharing"
"3730","Multi-player"
"3730","Single-player"
"3800","Family Sharing"
"3800","Single-player"
"3800","Steam Trading Cards"
"3810","Family Sharing"
"3810","Single-player"
"3810","Steam Trading Cards"
"3820","Family Sharing"
"3820","Single-player"
"3820","Steam Trading Cards"
"3830","Family Sharing"
"3830","Partial Controller Support"
"3830","Remote Play on Phone"
"3830","Remote Play on Tablet"
"3830","Single-player"
"3830","Steam Achievements"
"3830","Steam Cloud"
"3830","Steam Trading Cards"
"3850","Game demo"
"3850","Single-player"
"3900","Family Sharing"
"3900","Includes level editor"
"3900","Multi-player"
"3900","Single-player"
"3910","Family Sharing"
"3910","Includes level editor"
"3910","Multi-player"
"3910","Single-player"
"3920","Family Sharing"
"3920","Single-player"
"3960","Family Sharing"
"3960","Multi-player"
"3960","Single-player"
"3980","Family Sharing"
"3980","Single-player"
"3990","Family Sharing"
"3990","Single-player"
"4000","Captions available"
"4000","Co-op"
"4000","Cross-Platform Multiplayer"
"4000","Family Sharing"
"4000","Includes level editor"
"4000","Includes Source SDK"
"4000","LAN Co-op"
"4000","LAN PvP"
"4000","Multi-player"
"4000","Online Co-op"
"4000","Online PvP"
"4000","PvP"
"4000","Remote Play on Tablet"
"4000","Single-player"
"4000","Steam Achievements"
"4000","Steam Cloud"
"4000","Steam Trading Cards"
"4000","Steam Workshop"
"4000","Valve Anti-Cheat enabled"
"4100","Family Sharing"
"4100","Single-player"
"4102","Game demo"
"4102","Single-player"
"4230","Family Sharing"
"4230","Multi-player"
"4230","Single-player"
"4260","Game demo"
"4260","Multi-player"
"4260","Single-player"
"4290","Family Sharing"
"4290","Multi-player"
"4290","Single-player"
"4300","Family Sharing"
"4300","Includes level editor"
"4300","Partial Controller Support"
"4300","Single-player"
"4310","Game demo"
"4310","Single-player"
"4420","Family Sharing"
"4420","Single-player"
"4440","Game demo"
"4440","Single-player"
"4460","Family Sharing"
"4460","Single-player"
"4470","Family Sharing"
"4470","Multi-player"
"4470","Single-player"
"4500","Family Sharing"
"4500","LAN PvP"
"4500","Multi-player"
"4500","Online PvP"
"4500","PvP"
"4500","Single-player"
"4500","Steam Cloud"
"4520","Co-op"
"4520","Family Sharing"
"4520","Multi-player"
"4520","Single-player"
"4530","Co-op"
"4530","Family Sharing"
"4530","Multi-player"
"4530","Single-player"
"4560","Family Sharing"
"4560","Multi-player"
"4560","Single-player"
"4560","Steam Cloud"
"4560","Steam Trading Cards"
"4560","Steam Workshop"
"4570","Family Sharing"
"4570","Multi-player"
"4570","Single-player"
"4570","Steam Cloud"
"4570","Steam Trading Cards"
"4580","Family Sharing"
"4580","Multi-player"
"4580","Single-player"
"4580","Steam Cloud"
"4700","Family Sharing"
"4700","Multi-player"
"4700","Single-player"
"4700","Steam Trading Cards"
"4710","Game demo"
"4710","Single-player"
"4720","Family Sharing"
"4720","Single-player"
"4760","Family Sharing"
"4760","Multi-player"
"4760","Single-player"
"4760","Steam Trading Cards"
"4770","Family Sharing"
"4770","Multi-player"
"4770","Single-player"
"4780","Family Sharing"
"4780","Multi-player"
"4780","Single-player"
"4800","Family Sharing"
"4800","Multi-player"
"4800","Single-player"
"4810","Game demo"
"4810","Single-player"
"4820","Game demo"
"4820","Multi-player"
"4850","Family Sharing"
"4850","Multi-player"
"4850","Single-player"
"4870","Family Sharing"
"4870","Single-player"
"4880","Family Sharing"
"4880","Single-player"
"4890","Family Sharing"
"4890","Multi-player"
"4890","Online PvP"
"4890","PvP"
"4890","Remote Play Together"
"4890","Shared/Split Screen PvP"
"4890","Single-player"
"4900","Single-player"
"4920","Family Sharing"
"4920","Includes level editor"
"4920","Multi-player"
"4920","Online PvP"
"4920","PvP"
"4920","Steam Achievements"
"4920","Steam Cloud"
"4920","Steam Trading Cards"
"4920","Steam Workshop"
"4920","Valve Anti-Cheat enabled"
"6000","Family Sharing"
"6000","Multi-player"
"6000","PvP"
"6000","Remote Play Together"
"6000","Shared/Split Screen PvP"
"6000","Single-player"
"6000","Steam Cloud"
"6010","Family Sharing"
"6010","Single-player"
"6010","Steam Cloud"
"6020","Family Sharing"
"6020","Multi-player"
"6020","Online PvP"
"6020","Partial Controller Support"
"6020","PvP"
"6020","Remote Play Together"
"6020","Shared/Split Screen PvP"
"6020","Single-player"
"6020","Steam Cloud"
"6030","Family Sharing"
"6030","Multi-player"
"6030","Online PvP"
"6030","Partial Controller Support"
"6030","PvP"
"6030","Remote Play Together"
"6030","Shared/Split Screen PvP"
"6030","Single-player"
"6030","Steam Cloud"
"6040","Family Sharing"
"6040","Single-player"
"6040","Steam Cloud"
"6060","Family Sharing"
"6060","Multi-player"
"6060","Online PvP"
"6060","PvP"
"6060","Single-player"
"6060","Steam Cloud"
"6080","Co-op"
"6080","Family Sharing"
"6080","Multi-player"
"6080","Partial Controller Support"
"6080","PvP"
"6080","Remote Play Together"
"6080","Shared/Split Screen"
"6080","Shared/Split Screen Co-op"
"6080","Shared/Split Screen PvP"
"6080","Single-player"
"6080","Steam Cloud"
"6090","Family Sharing"
"6090","Single-player"
"6090","Steam Cloud"
"6120","Family Sharing"
"6120","Full controller support"
"6120","Multi-player"
"6120","Remote Play on TV"
"6120","Remote Play Together"
"6120","Shared/Split Screen"
"6120","Single-player"
"6120","Steam Achievements"
"6120","Steam Cloud"
"6130","Game demo"
"6200","Family Sharing"
"6200","Single-player"
"6210","Family Sharing"
"6210","Single-player"
"6220","Family Sharing"
"6220","LAN PvP"
"6220","Multi-player"
"6220","Partial Controller Support"
"6220","PvP"
"6220","Single-player"
"6220","Steam Cloud"
"6220","Steam Trading Cards"
"6220","Steam Workshop"
"6230","Game demo"
"6230","Single-player"
"6250","Family Sharing"
"6250","Multi-player"
"6250","Single-player"
"6260","Game demo"
"6260","Single-player"
"6270","Family Sharing"
"6270","Multi-player"
"6270","Single-player"
"6300","Family Sharing"
"6300","Single-player"
"6310","Family Sharing"
"6310","Single-player"
"6320","Game demo"
"6320","Single-player"
"6370","MMO"
"6370","Multi-player"
"6370","Single-player"
"6400","Co-op"
"6400","Family Sharing"
"6400","Multi-player"
"6400","Remote Play Together"
"6400","Shared/Split Screen"
"6400","Single-player"
"6410","Game demo"
"6410","Single-player"
"6420","Family Sharing"
"6420","Includes level editor"
"6420","Multi-player"
"6420","Single-player"
"6510","Family Sharing"
"6510","Multi-player"
"6510","Partial Controller Support"
"6510","Single-player"
"6510","Valve Anti-Cheat enabled"
"6580","Game demo"
"6580","Single-player"
"6600","Family Sharing"
"6600","Single-player"
"6600","Steam Achievements"
"6800","Co-op"
"6800","Family Sharing"
"6800","Multi-player"
"6800","Single-player"
"6810","Co-op"
"6810","Family Sharing"
"6810","Multi-player"
"6810","Single-player"
"6830","Co-op"
"6830","Family Sharing"
"6830","Multi-player"
"6830","Single-player"
"6840","Co-op"
"6840","Family Sharing"
"6840","Multi-player"
"6840","Single-player"
"6850","Family Sharing"
"6850","Single-player"
"6850","Steam Cloud"
"6860","Family Sharing"
"6860","Single-player"
"6860","Steam Cloud"
"6870","Family Sharing"
"6870","Single-player"
"6880","Family Sharing"
"6880","Single-player"
"6900","Family Sharing"
"6900","Single-player"
"6900","Steam Cloud"
"6910","Family Sharing"
"6910","Full controller support"
"6910","Multi-player"
"6910","Single-player"
"6920","Family Sharing"
"6920","Full controller support"
"6920","Single-player"
"6930","Game demo"
"6930","Single-player"
"6940","Game demo"
"6940","Multi-player"
"6950","Game demo"
"6950","Single-player"
"6980","Family Sharing"
"6980","Full controller support"
"6980","Single-player"
"7000","Family Sharing"
"7000","Full controller support"
"7000","Single-player"
"7010","Family Sharing"
"7010","Multi-player"
"7010","Single-player"
"7020","Co-op"
"7020","Family Sharing"
"7020","Multi-player"
"7020","Single-player"
"7030","Game demo"
"7030","Single-player"
"7050","Game demo"
"7050","Single-player"
"7110","Family Sharing"
"7110","Partial Controller Support"
"7110","Single-player"
"7200","Family Sharing"
"7200","Includes level editor"
"7200","Multi-player"
"7200","Single-player"
"7210","Family Sharing"
"7210","Single-player"
"7220","Family Sharing"
"7220","Single-player"
"7230","Game demo"
"7230","Single-player"
"7260","Family Sharing"
"7260","Multi-player"
"7260","Single-player"
"7280","Game demo"
"7280","Single-player"
"7340","Family Sharing"
"7340","Single-player"
"7510","Family Sharing"
"7510","Partial Controller Support"
"7510","Single-player"
"7510","Steam Trading Cards"
"7520","Co-op"
"7520","Cross-Platform Multiplayer"
"7520","Family Sharing"
"7520","Full controller support"
"7520","In-App Purchases"
"7520","Multi-player"
"7520","Online Co-op"
"7520","Online PvP"
"7520","PvP"
"7520","Remote Play on TV"
"7520","Single-player"
"7520","Steam Achievements"
"7520","Steam Cloud"
"7520","Steam Trading Cards"
"7530","Family Sharing"
"7530","Single-player"
"7530","Steam Cloud"
"7530","Steam Trading Cards"
"7600","Family Sharing"
"7600","Multi-player"
"7600","Single-player"
"7610","Family Sharing"
"7610","Multi-player"
"7610","Single-player"
"7620","Family Sharing"
"7620","Single-player"
"7650","Family Sharing"
"7650","Single-player"
"7660","Family Sharing"
"7660","Single-player"
"7670","Compartilhamento em família"
"7670","Compat. parcial com controle"
"7670","Um jogador"
"7710","Game demo"
"7710","Single-player"
"7730","Family Sharing"
"7730","Multi-player"
"7730","Single-player"
"7760","Family Sharing"
"7760","Single-player"
"7770","Family Sharing"
"7770","Multi-player"
"7770","Single-player"
"7800","Co-op"
"7800","Family Sharing"
"7800","Multi-player"
"7800","Partial Controller Support"
"7800","Remote Play Together"
"7800","Shared/Split Screen"
"7800","Shared/Split Screen Co-op"
"7800","Single-player"
"7800","Steam Achievements"
"7800","Steam Cloud"
"7800","Steam Trading Cards"
"7830","Family Sharing"
"7830","Includes level editor"
"7830","Multi-player"
"7830","Single-player"
"7830","Steam Cloud"
"7840","Family Sharing"
"7840","Single-player"
"7840","Steam Cloud"
"7860","Family Sharing"
"7860","Multi-player"
"7860","Single-player"
"7860","Steam Cloud"
"7890","Game demo"
"7890","Multi-player"
"7890","Single-player"
"7940","Family Sharing"
"7940","Multi-player"
"7940","Single-player"
"8000","Family Sharing"
"8000","Full controller support"
"8000","Single-player"
"8030","Game demo"
"8030","Single-player"
"8080","Family Sharing"
"8080","Multi-player"
"8080","Partial Controller Support"
"8080","Remote Play Together"
"8080","Shared/Split Screen"
"8080","Single-player"
"8090","Co-op"
"8090","Game demo"
"8090","Multi-player"
"8090","Single-player"
